,distance_liquid,distance_column,ratio,-ln_intensity,I_empty,I_full
967,17.616100004350084,1.0750890361515282,0.05751849354377276,2.698205313223345,11972.301058823527,806.0499411764717
968,17.604306232281473,1.0757677795139244,0.05758905338568994,2.696972223080347,11935.584823529409,804.5694705882352
969,17.59245682048981,1.0764505639059117,0.05766007306917465,2.697634566541305,11983.884117647061,807.2904117647058
970,17.580551659285735,1.0771374090241146,0.0577315553432411,2.6968120275389413,11948.757470588229,805.5864705882373
971,17.568590638166054,1.0778283347459237,0.057803502984230176,2.697850316090472,11964.480352941173,805.8094117647051
972,17.55657364580786,1.0785233611310296,0.05787591879609938,2.6917556182184326,12018.977647058819,814.4284117647067
973,17.544500570061743,1.0792225084236478,0.05794880561075318,2.6910347756234705,11823.359764705883,801.7507058823521
974,17.532371297945737,1.0799257970541696,0.05802216628834524,2.690308260777845,11627.778235294116,789.0612352941189
975,17.520185715638664,1.080633247641181,0.058096003717603796,2.6925883805429276,11637.690352941177,787.93523529412
976,17.507943708473565,1.081344880993317,0.05817032081615172,2.6902971004416107,11675.284058823529,792.2938235294114
977,17.49564516093106,1.0820607181115065,0.05824512053084955,2.6889510903491556,11678.386058823533,793.5717647058818
978,17.48328995663262,1.0827807801906424,0.058320405838112786,2.6873884345657912,11680.765647058819,794.9747647058825
979,17.470877978333938,1.083505088621795,0.05839617974425967,2.6858019049533213,11717.83811764706,798.7641176470579
980,17.458409107917813,1.084233664994244,0.05847244528585441,2.6883478575431847,11710.717588235288,796.24894117647
981,17.4458832263873,1.0849665310975851,0.05854920553005677,2.6874170433062865,11710.980705882355,797.0083529411777
982,17.43330021385876,1.0857037089237274,0.05862646357496964,2.684416866103368,11707.618294117652,799.1735882352964
983,17.42065994955451,1.0864452206692619,0.05870422255001027,2.685080859001344,11711.888470588236,798.9344117647088
984,17.40796231179595,1.0871910887374057,0.058782485616261704,2.681290084713062,11716.032058823523,802.2524705882356
985,17.395207177995918,1.0879413357403358,0.058861255966850164,2.6809348265403146,11700.942999999997,801.5039411764724
986,17.382394424651626,1.088695984501367,0.05894053682731609,2.680975872695015,11725.523352941178,803.1547058823526
987,17.369523927337042,1.08945505805724,0.05902033145599626,2.6790746520716335,11728.338882352935,804.8763529411767
988,17.35659556069537,1.0902185796604549,0.05910064314441157,2.6769466266316146,11731.11994117647,806.7822352941184
989,17.343609198431427,1.0909865727815173,0.0591814752176545,2.6723844544572253,11747.70211764706,811.6169411764727
990,17.330564713303925,1.0917590611113113,0.059262831034787085,2.672277565028571,11730.77829411765,810.5343529411775
991,17.317461977117617,1.0925360685635574,0.05934471398924765,2.6717188386202047,11753.485588235295,812.5571764705887
992,17.30430086071552,1.0933176192771903,0.05942712750925702,2.671732357144448,11738.96164705882,811.5421176470572
993,17.291081233970687,1.094103737618802,0.059510075058233775,2.668023685843902,11755.074823529412,815.6755294117665
994,17.277802965778275,1.0948944481851939,0.059593560135217875,2.667692505969073,11780.809352941178,817.7319999999986
995,17.264465924047375,1.0956897758058268,0.059677586275294355,2.670150790558866,11731.413588235293,812.3040000000005
996,17.25106997569256,1.096489745545469,0.05976215705003203,2.6656195613788336,11744.283000000005,816.8882352941173
997,17.23761498662564,1.097294382706707,0.05984727606791897,2.6646014585794617,11743.531352941178,817.6680000000006
998,17.224100821747097,1.0981037128326676,0.059932946974814105,2.66384493356886,11741.996647058822,818.1798823529425
999,17.210527344937567,1.0989177617095969,0.060019173454395926,2.661236257031782,11769.442764705884,822.234470588236
1000,17.196894419049023,1.09973655536972,0.060105959228631,2.6601985836333197,11736.722058823529,820.7998235294112
1001,17.18320190589604,1.1005601200937996,0.0601933080582314,2.6588914728740356,11748.48005882353,822.6967647058814
1002,17.169449666246866,1.1013884824140696,0.060281223743136825,2.6600741675774557,11736.886764705883,820.9134705882352
1003,17.15563755981443,1.1022216691170144,0.06036971012299358,2.6572533695359426,11731.501529411773,822.854647058824
1004,17.141765445247213,1.1030597072462491,0.06045877107764431,2.657790513527249,11728.459647058822,822.1995294117623
1005,17.12783318011996,1.1039026241053875,0.06054841052762236,2.6570620661919486,11697.887000000008,820.6538823529413
1006,17.113840620924368,1.1047504472610505,0.06063863243465864,2.6551792465348214,11726.655764705876,824.2225294117648
1007,17.099787623059562,1.1056032045458615,0.06072944080219358,2.656017030002255,11696.528352941179,821.4165294117647
1008,17.08567404082263,1.106460924061409,0.06082083967589242,2.6527705335182965,11707.840411764708,824.8845882352939
1009,17.07149972739878,1.1073236341814372,0.060912833144178904,2.653221319637937,11714.454941176467,824.9786470588233
1010,17.05726453485159,1.1081913635548801,0.06100542533876587,2.6499717312781432,11679.464294117652,825.1916470588244
1011,17.042968314113107,1.109064141109073,0.06109862043520118,2.6485889302417234,11683.55011764705,826.6225882352996
1012,17.028610914973637,1.109941996052953,0.06119242265341957,2.647582981794694,11670.447470588242,826.5265882352951
1013,17.01419218607167,1.1108249578804106,0.06128683625830767,2.6448292622049263,11635.429823529412,826.3188823529399
1014,16.99971197488355,1.111713056373432,0.06138186556026488,2.6436498154873047,11636.462352941178,827.3674705882377
1015,16.98517012771302,1.1126063216055968,0.06147751491578882,2.640461740266558,11621.694999999998,828.9560588235308
1016,16.970566489680575,1.1135047839454693,0.061573788728062226,2.6406060834382683,11682.563999999995,833.1774705882367
1017,16.955900904712816,1.1144084740600633,0.06167069144754956,2.640456809320745,11643.013470588236,830.4807647058828
1018,16.941173215531634,1.1153174229182383,0.06176822757259696,2.640329381787756,11603.506999999994,827.7682941176486
1019,16.926383263643046,1.1162316617944654,0.061866401650058946,2.636153457461638,11609.874352941171,831.6883529411743
1020,16.911530889326414,1.1171512222722484,0.0619652182759124,2.6344330687068354,11596.764411764698,832.1796470588242
1021,16.896615931622716,1.1180761362479963,0.062064682095903836,2.634082330566415,11608.984117647062,833.3487647058814
1022,16.88163822832358,1.119006435934491,0.06216479780617972,2.6296288077838215,11610.069588235292,837.1466470588225
1023,16.86659761595949,1.1199421538649368,0.062265570153956805,2.6313624278177175,11612.30682352941,835.8576470588214
1024,16.85149392978811,1.120883322896617,0.06236700393817845,2.629093978201101,11641.249588235292,839.8439411764698
1025,16.836327003782383,1.121829976214869,0.06246910401019563,2.629396044421712,11617.423176470587,837.8718823529439
1026,16.82109667061881,1.1227821473370376,0.06257187527445329,2.628881850457463,11644.095470588236,840.2274705882355
1027,16.805802761664843,1.1237398701164736,0.06267532268918947,2.6264431175239213,11614.449176470585,840.1345882352934
1028,16.790445106966978,1.1247031787465644,0.06277945126714136,2.6236923387961886,11636.088764705884,844.0184117647059
1029,16.775023535238017,1.1256721077649843,0.06288426607627315,2.6250588666994346,11636.041647058817,842.8624117647046
1030,16.75953787384456,1.1266466920577933,0.06298977224050323,2.6251508478122,11598.671823529412,840.078235294121
1031,16.743987948794196,1.1276269668637227,0.0630959749404499,2.620016699550886,11630.945647058823,846.7520000000013
1032,16.72837358472246,1.1286129677785688,0.0632028794141919,2.618713577867479,11605.620176470591,846.0100000000007
1033,16.712694604879758,1.1296047307595316,0.06331049095803425,2.6187508178430945,11613.927647058823,846.5840588235296
1034,16.696950831118023,1.1306022921296943,0.06341881492729093,2.619023743886951,11624.016294117642,847.0882352941176
1035,16.681142083877322,1.1316056885825105,0.06352785673707671,2.616434921185888,11586.480823529415,846.5415882352941
1036,16.665268182172078,1.1326149571864974,0.06363762186311984,2.6118404931727173,11614.824176470584,852.5202941176472
1037,16.649328943577203,1.1336301353898612,0.06374811584258051,2.614491877188162,11581.653176470589,847.8346470588231
1038,16.633324184214178,1.1346512610253185,0.06385934427488874,2.6151908059962836,11568.818235294111,846.3033529411769
1039,16.617253718736915,1.1356783723146613,0.06397131282257897,2.6126213501542974,11573.787941176473,848.8451764705896
1040,16.601117360317048,1.1367115078740895,0.06408402721217643,2.609231271722673,11533.770235294114,848.7827647058821
1041,16.58491492062965,1.1377507067187587,0.06419749323505033,2.610642113961043,11550.912941176472,848.8458823529427
1042,16.56864620983827,1.1387960082680877,0.06431171674831934,2.609245637993512,11522.126470588239,847.9137058823512
1043,16.552311036579997,1.1398474523508817,0.06442670367575719,2.606162343849601,11545.097470588235,852.2277647058818
